epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4314,1.8949,5.00203,1.20333,0.08042,0.11901,0.04028,0.02164,1.42077,3.40064,0.97449,0.00016,0.00016,0.00016
2,13.5995,1.61505,2.01502,1.0769,0.75792,0.59296,0.68684,0.37572,1.4728,2.25835,1.03326,0.00031756,0.00031756,0.00031756
3,14.719,1.39398,1.23257,0.99222,0.44581,0.59366,0.38764,0.19534,1.41682,3.01448,0.98758,0.00045136,0.00045136,0.00045136
4,15.7357,1.4068,1.0475,0.98326,0.14316,0.74225,0.12834,0.06521,1.40098,18.9737,0.98873,0.0005614,0.0005614,0.0005614
5,16.7638,1.35632,0.96203,0.99746,0.18654,0.50211,0.15304,0.07508,1.36396,4.50674,0.97261,0.00064768,0.00064768,0.00064768
6,19.4623,1.33454,0.98092,1.00268,0.63707,0.52746,0.57281,0.2972,1.42402,1.45761,0.98595,0.0007102,0.0007102,0.0007102
7,20.656,1.2802,0.87756,0.96852,0.67354,0.59135,0.6423,0.30547,1.46363,1.32639,0.97322,0.00074896,0.00074896,0.00074896
8,21.6567,1.26027,0.80192,0.97025,0.68332,0.62254,0.68033,0.39085,1.31435,1.06527,0.95419,0.00076396,0.00076396,0.00076396
9,22.6412,1.30572,0.78697,0.96751,0.81158,0.7007,0.78807,0.40492,1.48571,0.91711,1.00339,0.0007552,0.0007552,0.0007552
10,23.7303,1.25744,0.74442,0.94863,0.85922,0.73065,0.81817,0.49251,1.26909,0.78417,0.95687,0.00072268,0.00072268,0.00072268
11,24.6919,1.22999,0.69584,0.95263,0.83284,0.70423,0.77611,0.4143,1.40966,0.81169,0.9846,0.0006664,0.0006664,0.0006664
12,25.5903,1.20821,0.68258,0.94577,0.87621,0.75267,0.84705,0.4795,1.30778,0.75568,0.95206,0.000548,0.000548,0.000548
13,26.4819,1.13858,0.6507,0.93352,0.87795,0.8,0.86995,0.54761,1.16266,0.66548,0.92196,0.000416,0.000416,0.000416
14,27.4395,1.16143,0.64848,0.92807,0.88996,0.79168,0.86818,0.53287,1.17389,0.65153,0.92542,0.000284,0.000284,0.000284
15,28.3538,1.09873,0.60853,0.94527,0.87723,0.79366,0.86968,0.53143,1.17799,0.63289,0.92915,0.000152,0.000152,0.000152
